ID,ENG,ESP
0,Hello,Hola
1,Are you there?,Estas ahi?
2,Are we connected?,Estamos conectados?
3,Great.,Bien.
4,Lets begin then.,Entonces empecemos.
5,First... We need a name.,Primero... Necesitamos un nombre.
6,Name yourself.,Date un nombre.
7,Well done. Now give yourself an age.,Bien hecho. Ahora date una edad.
8,And lastly... Choose your car,Y finalmente... Escoge tu auto.
9,Is this information correct?,Es esta informacion correcta?
10,Really fascinating.,Realmente fascinante.
11,You really are a wonderful driver,Eres realmente un gran corredor
12,I am really intrigued to meet you.,Estoy intrigado por conocerte.
13,. . .,. . .
14,Nah. In this world you can’t chose who you are.,Nah. En este mundo no puedes escoger quién eres.
15,Everything is already decided…,Todo ya ha sido decidido.
16,Your name is…,Tu nombre es…
17,But a racecar is useless without skills,Pero un auto de carreras es inutil sin habilidades
18,How good are you at driving?,Que tan bueno eres conduciendo?
19,Grip Driving,Conduccion por Agarre
20,Drift Driving,Conduccion por Derrape
21,Corner Entry,Entrada a Curvas
22,Corner Exit,Salida a Curvas
23,Launch,Arranque
24,FF Driving,Habilidad en FF
25,FR Driving,Habilidad en FR
26,AWD Driving,Habilidad en AWD
27,MR/RR Driving,Habilidad en MR/RR
28,Change Language,Cambiar Idioma
29,Misaki: Alex!,Misaki: Alex!
30,Misaki: Alex you son of a bitch!,Misaki: Alex pedazo de idiota!
31,Misaki: You are late for school again and on the black list!,Misaki: Vas tarde al colegio de nuevo y estas condicional
32,Misaki: Get ready to go or I will never let you drive the F355 again,Misaki: Apurate en arreglarte o no te vuelvo a prestar la F355
33,Your bed. Your dearest friend.,Tu cama. Tu amigo mas fiel.
